GameID,Date,Hometeam,Awayteam,Homescore,Awayscore
873,2017-02-25,SAC,CHO,85,99
874,2017-02-26,DEN,MEM,98,105
875,2017-02-26,DET,BOS,98,104
876,2017-02-26,LAC,CHO,124,121
877,2017-02-26,LAL,SAS,98,119
878,2017-02-26,MIL,PHO,100,96
879,2017-02-26,OKC,NOP,118,110
880,2017-02-26,TOR,POR,112,106
881,2017-02-26,WAS,UTA,92,102
882,2017-02-27,BOS,ATL,98,114
883,2017-02-27,CLE,MIL,102,95
884,2017-02-27,DAL,MIA,96,89
885,2017-02-27,HOU,IND,108,117
886,2017-02-27,NYK,TOR,91,92
887,2017-02-27,PHI,GSW,108,119
888,2017-02-27,SAC,MIN,88,102
889,2017-02-28,CHI,DEN,107,125
890,2017-02-28,DET,POR,120,113
891,2017-02-28,LAL,CHO,104,109
892,2017-02-28,MEM,PHO,130,112
893,2017-02-28,OKC,UTA,109,106
894,2017-02-28,WAS,GSW,112,108
895,2017-03-01,ATL,DAL,100,95
896,2017-03-01,BOS,CLE,103,99
897,2017-03-01,LAC,HOU,103,122
898,2017-03-01,MIA,PHI,125,98
899,2017-03-01,MIL,DEN,98,110
900,2017-03-01,NOP,DET,109,86
901,2017-03-01,ORL,NYK,90,101
902,2017-03-01,SAC,BRK,100,109
903,2017-03-01,SAS,IND,100,99
904,2017-03-01,TOR,WAS,96,105
905,2017-03-01,UTA,MIN,80,107
906,2017-03-02,CHI,GSW,94,87
907,2017-03-02,PHO,CHO,120,103
908,2017-03-02,POR,OKC,114,109
909,2017-03-03,ATL,CLE,130,135
910,2017-03-03,DAL,MEM,104,100
911,2017-03-03,LAL,BOS,95,115
912,2017-03-03,MIL,LAC,112,101
913,2017-03-03,NOP,SAS,98,101
914,2017-03-03,ORL,MIA,110,99
915,2017-03-03,PHI,NYK,105,102
916,2017-03-03,PHO,OKC,118,111
917,2017-03-03,UTA,BRK,112,97
918,2017-03-03,WAS,TOR,106,114
919,2017-03-04,CHI,LAC,91,101
920,2017-03-04,DEN,CHO,102,112
921,2017-03-04,HOU,MEM,123,108
922,2017-03-04,MIA,CLE,120,92
923,2017-03-04,MIL,TOR,101,94
924,2017-03-04,PHI,DET,106,136
925,2017-03-04,POR,BRK,130,116
926,2017-03-04,SAS,MIN,97,90
927,2017-03-05,ATL,IND,96,97
928,2017-03-05,DAL,OKC,104,89
929,2017-03-05,LAL,NOP,97,105
930,2017-03-05,NYK,GSW,105,112
931,2017-03-05,PHO,BOS,109,106
932,2017-03-05,SAC,UTA,109,110
933,2017-03-05,WAS,ORL,115,114
934,2017-03-06,ATL,GSW,111,119
935,2017-03-06,CHO,IND,100,88
936,2017-03-06,CLE,MIA,98,106
937,2017-03-06,DEN,SAC,108,96
938,2017-03-06,DET,CHI,109,95
939,2017-03-06,LAC,BOS,116,102
