GameID,Date,Hometeam,Awayteam,Homescore,Awayscore,HFTA,AFTA,Ref,Ref,Ref
119,2016-11-10,MIL,NOP,106,112,25,27,Steve Anderson,Ron Garretson,Zach Zarba
120,2016-11-10,SAC,LAL,91,101,20,22,J.T. Orr,Jason Phillips,Josh Tiven
121,2016-11-11,BOS,NYK,115,87,43,17,Tony Brothers,Eric Dalen,Dedric Taylor
122,2016-11-11,CHO,TOR,111,113,24,22,Derrick Collins,Kane Fitzgerald,Derek Richardson
123,2016-11-11,OKC,LAC,108,110,19,35,Tony Brown,Kevin Cutler,Monty McCutchen
124,2016-11-11,ORL,UTA,74,87,19,16,Nick Buchert,Marat Kogut,Derrick Stafford
125,2016-11-11,PHI,IND,109,105,31,23,Matt Boland,James Capers,Tyler Ford
126,2016-11-11,POR,SAC,122,120,27,35,Ken Mauer,Leroy Richardson,Ben Taylor
127,2016-11-11,SAS,DET,96,86,19,21,Eric Lewis,Mark Lindsay,Haywoode Workman
128,2016-11-11,WAS,CLE,94,105,19,26,John Goble,Courtney Kirkland,Scott Twardoski
129,2016-11-12,ATL,PHI,117,96,14,20,Mark Lindsay,Ed Malloy,Gediminas Petraitis
130,2016-11-12,CHI,WAS,106,95,25,18,Steve Anderson,Mike Callahan,Derrick Collins
131,2016-11-12,DEN,DET,95,106,19,14,James Williams,Leon Wood,Sean Wright
132,2016-11-12,HOU,SAS,100,106,21,24,Brent Barnaky,Marat Kogut,Tom Washington
133,2016-11-12,IND,BOS,99,105,28,33,Sean Corbin,Kevin Cutler,Kane Fitzgerald
134,2016-11-12,MIA,UTA,91,102,19,19,Brian Forte,Karl Lane,Scott Wall
135,2016-11-12,MIL,MEM,106,96,36,21,Bennie Adams,Tyler Ford,John Goble
136,2016-11-12,MIN,LAC,105,119,21,37,Michael Smith,Dedric Taylor,Zach Zarba
137,2016-11-12,NOP,LAL,99,126,19,7,Marc Davis,Lauren Holtkamp,Rodney Mott
138,2016-11-12,PHO,BRK,104,122,21,30,Dan Crawford,Kevin Scott,C.J. Washington
139,2016-11-12,TOR,NYK,118,107,38,16,Matt Boland,Scott Foster,Jacyn Goble
140,2016-11-13,CLE,CHO,100,93,15,12,Pat Fraher,Brett Nansel,Derrick Stafford
141,2016-11-13,GSW,PHO,133,120,31,26,Jason Goldenberg,Monty McCutchen,Gary Zielinski
142,2016-11-13,MIN,LAL,125,99,42,30,Tony Brothers,Courtney Kirkland,Ben Taylor
143,2016-11-13,OKC,ORL,117,119,26,20,Brent Barnaky,Curtis Blair,James Capers
144,2016-11-13,POR,DEN,112,105,32,29,Mark Ayotte,Tre Maddox,Bill Spooner
145,2016-11-14,DET,OKC,104,88,16,22,Bennie Adams,Matt Boland,Nick Buchert
146,2016-11-14,HOU,PHI,115,88,17,17,Curtis Blair,Derrick Collins,Zach Zarba
147,2016-11-14,IND,ORL,88,69,10,13,Tony Brown,Eric Lewis,Gediminas Petraitis
